"","X1","X2","X3"
"1","raju-vegesna","1371244410075","crunchbase"
"2","ian-wenig","1371244411583","crunchbase"
"3","chris-hughes","1371244428870","crunchbase"
"4","greg-wimmer","1371244435062","crunchbase"
"5","peter-foster","1371244436563","crunchbase"
"6","heather-dana","1371244437783","crunchbase"
"7","scott-penberthy","1371244441354","crunchbase"
"8","alice-lankester","1371244442588","crunchbase"
"9","alex-musil","1371244444569","crunchbase"
"10","ken-howery","1371244456733","crunchbase"
"11","sean-parker","1371244459910","crunchbase"
"12","george-zachary","1371244462354","crunchbase"
"13","andy-gavin","1371244467373","crunchbase"
"14","evan-williams","1371244470173","crunchbase"
"15","geoff-smith","1371244474496","crunchbase"
"16","justin-lafrance","1371244475532","crunchbase"
"17","jack-dorsey","1371244476447","crunchbase"
"18","jason-goldman","1371244478304","crunchbase"
"19","biz-stone","1371244480286","crunchbase"
"20","eyal-gever","1371244482542","crunchbase"
"21","efrat-moshkoviz","1371244484190","crunchbase"
"22","amihay-zer-kavod","1371244485283","crunchbase"
"23","eldad-ben-tora","1371244486171","crunchbase"
"24","eli-wurtman","1371244487514","crunchbase"
"25","arun-gupta","1371244488547","crunchbase"
"26","barry-brott","1371244489633","crunchbase"
"27","dennis-mudd","1371244490950","crunchbase"
"28","jim-cady","1371244492569","crunchbase"
"29","jonathan-sasse","1371244493465","crunchbase"
"30","john-adler","1371244494498","crunchbase"
"31","jared-friedman","1371244495695","crunchbase"
"32","tikhon-bernstam","1371244496847","crunchbase"
"33","bill-nguyen","1371244498057","crunchbase"
"34","john-kuch","1371244499306","crunchbase"
"35","sky-dayton","1371244500843","crunchbase"
"36","wonhee-sull","1371244502925","crunchbase"
"37","todd-tapin","1371244503953","crunchbase"
"38","kieran-hannon","1371244505133","crunchbase"
"39","ali-zanjani","1371244506584","crunchbase"
"40","jay-lee","1371244507578","crunchbase"
"41","michael-grossi","1371244508952","crunchbase"
"42","pierre-omidyar","1371244512921","crunchbase"
"43","john-donahoe","1371244514537","crunchbase"
