"COMP_LEVEL";"MSJO_DATUM";"ZEIT_ID";"MESS_ID";"MSJO_WERT";"MSJO_INTERVALL";"MSJO_DGUELTIG";"STER_FLAG";"STKO_FLAG"
"2100";"01.01.2009 00:00:00";"1001";"179010";"1635070.59";"2678400";"2678400";"0";"32"
"2100";"01.02.2009 00:00:00";"1001";"179010";"1359218.66";"2678400";"2678400";"0";"32"
"2100";"01.03.2009 00:00:00";"1001";"179010";"1473106.51";"2678400";"2678400";"0";"32"
"2100";"01.04.2009 00:00:00";"1002";"179010";"884490.17";"2678400";"2678400";"0";"32"
"2100";"01.05.2009 00:00:00";"1002";"179010";"759424.30";"2678400";"2678400";"0";"32"
"2100";"01.06.2009 00:00:00";"1002";"179010";"781110.25";"2678400";"2678400";"0";"32"
"2100";"01.07.2009 00:00:00";"1002";"179010";"737697.47";"2678400";"2678400";"0";"32"
"2100";"01.08.2009 00:00:00";"1002";"179010";"710018.02";"2678400";"2678400";"0";"32"
"2100";"01.09.2009 00:00:00";"1002";"179010";"807956.81";"2678400";"2678400";"0";"32"
"2100";"01.10.2009 00:00:00";"1002";"179010";"937584.48";"2678400";"2678400";"0";"32"
"2100";"01.11.2009 00:00:00";"1001";"179010";"1094847.96";"2678400";"2678400";"0";"32"
"2100";"01.12.2009 00:00:00";"1001";"179010";"1365533.44";"2678400";"2678400";"0";"32"
"2100";"01.01.2010 00:00:00";"1001";"179010";"1721126.94";"2678400";"2678400";"0";"32"
"2100";"01.02.2010 00:00:00";"1001";"179010";"1430756.49";"2678400";"2678400";"0";"32"
"2100";"01.03.2010 00:00:00";"1001";"179010";"1550638.43";"2678400";"2678400";"0";"32"
"2100";"01.04.2010 00:00:00";"1002";"179010";"931042.28";"2678400";"2678400";"0";"32"
"2100";"01.05.2010 00:00:00";"1002";"179010";"799394.00";"2678400";"2678400";"0";"32"
"2100";"01.06.2010 00:00:00";"1002";"179010";"822221.32";"2678400";"2678400";"0";"32"
"2100";"01.07.2010 00:00:00";"1002";"179010";"776523.65";"2678400";"2678400";"0";"32"
"2100";"01.08.2010 00:00:00";"1002";"179010";"747387.39";"2678400";"2678400";"0";"32"
"2100";"01.09.2010 00:00:00";"1002";"179010";"850480.85";"2678400";"2678400";"0";"32"
"2100";"01.10.2010 00:00:00";"1002";"179010";"986931.03";"2678400";"2678400";"0";"32"
"2100";"01.11.2010 00:00:00";"1001";"179010";"1152471.54";"2678400";"2678400";"0";"32"
"2100";"01.12.2010 00:00:00";"1001";"179010";"1437403.62";"2678400";"2678400";"0";"32"
"2100";"01.01.2011 00:00:00";"1001";"179010";"1734741.76";"2678400";"2678400";"0";"32"
"2100";"01.02.2011 00:00:00";"1001";"179010";"1467768.67";"2678400";"2678400";"0";"32"
"2100";"01.03.2011 00:00:00";"1001";"179010";"1404314.81";"2678400";"2678400";"0";"32"
"2100";"01.04.2011 00:00:00";"1002";"179010";"1044554.87";"2678400";"2678400";"0";"32"
"2100";"01.05.2011 00:00:00";"1002";"179010";"883057.08";"2678400";"2678400";"0";"32"
"2100";"01.06.2011 00:00:00";"1002";"179010";"758353.30";"2678400";"2678400";"0";"32"
"2100";"01.07.2011 00:00:00";"1002";"179010";"655790.63";"2678400";"2678400";"0";"32"
"2100";"01.08.2011 00:00:00";"1002";"179010";"633132.58";"2678400";"2678400";"0";"32"
"2100";"01.09.2011 00:00:00";"1002";"179010";"746468.89";"2678400";"2678400";"0";"32"
"2100";"01.10.2011 00:00:00";"1002";"179010";"884307.81";"2678400";"2678400";"0";"32"
"2100";"01.11.2011 00:00:00";"1001";"179010";"1093607.78";"2678400";"2678400";"0";"32"
"2100";"01.12.2011 00:00:00";"1001";"179010";"1383910.86";"2678400";"2678400";"0";"32"
"2100";"01.01.2012 00:00:00";"1001";"179010";"1677716.65";"2678400";"2678400";"0";"32"
"2100";"01.02.2012 00:00:00";"1001";"179010";"1494758.25";"2678400";"2678400";"0";"32"
"2100";"01.03.2012 00:00:00";"1001";"179010";"1539891.56";"2678400";"2678400";"0";"32"
"2100";"01.04.2012 00:00:00";"1002";"179010";"963338.10";"2678400";"2678400";"0";"32"
"2100";"01.05.2012 00:00:00";"1002";"179010";"803881.47";"2678400";"2678400";"0";"32"
"2100";"01.06.2012 00:00:00";"1002";"179010";"852769.57";"2678400";"2678400";"0";"32"
"2100";"01.07.2012 00:00:00";"1002";"179010";"756288.93";"2678400";"2678400";"0";"32"
"2100";"01.08.2012 00:00:00";"1002";"179010";"828135.18";"2678400";"2678400";"0";"32"
"2100";"01.09.2012 00:00:00";"1002";"179010";"865530.75";"2678400";"2678400";"0";"32"
"2100";"01.10.2012 00:00:00";"1002";"179010";"974292.10";"2678400";"2678400";"0";"32"
"2100";"01.11.2012 00:00:00";"1001";"179010";"1193216.39";"2678400";"2678400";"0";"32"
"2100";"01.12.2012 00:00:00";"1001";"179010";"1533401.80";"2678400";"2678400";"0";"32"
"2100";"01.01.2013 00:00:00";"1001";"179010";"1892137.89";"2678400";"2678400";"0";"32"
"2100";"01.02.2013 00:00:00";"1001";"179010";"1595790.98";"2678400";"2678400";"0";"32"
"2100";"01.03.2013 00:00:00";"1001";"179010";"1401731.79";"2678400";"2678400";"0";"32"
"2100";"01.04.2013 00:00:00";"1002";"179010";"1041429.20";"2678400";"2678400";"0";"32"
"2100";"01.05.2013 00:00:00";"1002";"179010";"954544.82";"2678400";"2678400";"0";"32"
"2100";"01.06.2013 00:00:00";"1002";"179010";"749429.77";"2678400";"2678400";"0";"32"
"2100";"01.07.2013 00:00:00";"1002";"179010";"693607.61";"2678400";"2678400";"0";"32"
"2100";"01.08.2013 00:00:00";"1002";"179010";"672494.98";"2678400";"2678400";"0";"32"
"2100";"01.09.2013 00:00:00";"1002";"179010";"777232.84";"2678400";"2678400";"0";"32"
"2100";"01.10.2013 00:00:00";"1002";"179010";"995312.55";"2678400";"2678400";"0";"32"
"2100";"01.11.2013 00:00:00";"1001";"179010";"1222576.33";"2678400";"2678400";"0";"32"
"2100";"01.12.2013 00:00:00";"1001";"179010";"1501063.81";"2678400";"2678400";"0";"32"
"2100";"01.01.2014 00:00:00";"1001";"179010";"1842804.06";"2678400";"2678400";"0";"32"
"2100";"01.02.2014 00:00:00";"1001";"179010";"1581494.27";"2678400";"2678400";"0";"32"
"2100";"01.03.2014 00:00:00";"1001";"179010";"1356718.67";"2678400";"2678400";"0";"32"
"2100";"01.04.2014 00:00:00";"1002";"179010";"1028076.80";"2678400";"2678400";"0";"32"
"2100";"01.05.2014 00:00:00";"1002";"179010";"942753.29";"2678400";"2678400";"0";"32"
"2100";"01.06.2014 00:00:00";"1002";"179010";"738109.81";"2678400";"2678400";"0";"32"
"2100";"01.07.2014 00:00:00";"1002";"179010";"679390.07";"2678400";"2678400";"0";"32"
"2100";"01.08.2014 00:00:00";"1002";"179010";"646568.01";"2678400";"2678400";"0";"32"
"2100";"01.09.2014 00:00:00";"1002";"179010";"750087.73";"2678400";"2678400";"0";"32"
"2100";"01.10.2014 00:00:00";"1002";"179010";"986167.59";"2678400";"2678400";"0";"32"
"2100";"01.11.2014 00:00:00";"1001";"179010";"1198738.46";"2678400";"2678400";"0";"32"
"2100";"01.12.2014 00:00:00";"1001";"179010";"1447725.76";"2678400";"2678400";"0";"32"
