"COMP_LEVEL";"MSJO_DATUM";"ZEIT_ID";"MESS_ID";"MSJO_WERT";"MSJO_INTERVALL";"MSJO_DGUELTIG";"STER_FLAG";"STKO_FLAG"
"2100";"01.01.2009 00:00:00";"1001";"178997";"1234.00";"2678400";"2678400";"0";"32"
"2100";"01.02.2009 00:00:00";"1001";"178997";"1438.85";"2678400";"2678400";"0";"32"
"2100";"01.03.2009 00:00:00";"1001";"178997";"1601.74";"2678400";"2678400";"0";"32"
"2100";"01.04.2009 00:00:00";"1002";"178997";"1838.32";"2678400";"2678400";"0";"32"
"2100";"01.05.2009 00:00:00";"1002";"178997";"1970.96";"2678400";"2678400";"0";"32"
"2100";"01.06.2009 00:00:00";"1002";"178997";"1970.96";"2678400";"2678400";"0";"32"
"2100";"01.07.2009 00:00:00";"1002";"178997";"1970.96";"2678400";"2678400";"0";"32"
"2100";"01.08.2009 00:00:00";"1002";"178997";"1970.96";"2678400";"2678400";"0";"32"
"2100";"01.09.2009 00:00:00";"1002";"178997";"1970.96";"2678400";"2678400";"0";"32"
"2100";"01.10.2009 00:00:00";"1002";"178997";"1970.96";"2678400";"2678400";"0";"32"
"2100";"01.11.2009 00:00:00";"1001";"178997";"2111.79";"2678400";"2678400";"0";"32"
"2100";"01.12.2009 00:00:00";"1001";"178997";"2232.90";"2678400";"2678400";"0";"32"
"2100";"01.01.2010 00:00:00";"1001";"178997";"2442.00";"2678400";"2678400";"0";"32"
"2100";"01.02.2010 00:00:00";"1001";"178997";"2652.89";"2678400";"2678400";"0";"32"
"2100";"01.03.2010 00:00:00";"1001";"178997";"2891.09";"2678400";"2678400";"0";"32"
"2100";"01.04.2010 00:00:00";"1002";"178997";"3060.01";"2678400";"2678400";"0";"32"
"2100";"01.05.2010 00:00:00";"1002";"178997";"3184.86";"2678400";"2678400";"0";"32"
"2100";"01.06.2010 00:00:00";"1002";"178997";"3184.86";"2678400";"2678400";"0";"32"
"2100";"01.07.2010 00:00:00";"1002";"178997";"3184.86";"2678400";"2678400";"0";"32"
"2100";"01.08.2010 00:00:00";"1002";"178997";"3184.86";"2678400";"2678400";"0";"32"
"2100";"01.09.2010 00:00:00";"1002";"178997";"3184.86";"2678400";"2678400";"0";"32"
"2100";"01.10.2010 00:00:00";"1002";"178997";"3184.86";"2678400";"2678400";"0";"32"
"2100";"01.11.2010 00:00:00";"1001";"178997";"3287.69";"2678400";"2678400";"0";"32"
"2100";"01.12.2010 00:00:00";"1001";"178997";"3461.80";"2678400";"2678400";"0";"32"
"2100";"01.01.2011 00:00:00";"1001";"178997";"3640.76";"2678400";"2678400";"0";"32"
"2100";"01.02.2011 00:00:00";"1001";"178997";"3838.97";"2678400";"2678400";"0";"32"
"2100";"01.03.2011 00:00:00";"1001";"178997";"4049.61";"2678400";"2678400";"0";"32"
"2100";"01.04.2011 00:00:00";"1002";"178997";"4216.57";"2678400";"2678400";"0";"32"
"2100";"01.05.2011 00:00:00";"1002";"178997";"4342.54";"2678400";"2678400";"0";"32"
"2100";"01.06.2011 00:00:00";"1002";"178997";"4342.54";"2678400";"2678400";"0";"32"
"2100";"01.07.2011 00:00:00";"1002";"178997";"4342.54";"2678400";"2678400";"0";"32"
"2100";"01.08.2011 00:00:00";"1002";"178997";"4342.54";"2678400";"2678400";"0";"32"
"2100";"01.09.2011 00:00:00";"1002";"178997";"4342.54";"2678400";"2678400";"0";"32"
"2100";"01.10.2011 00:00:00";"1002";"178997";"4342.54";"2678400";"2678400";"0";"32"
"2100";"01.11.2011 00:00:00";"1001";"178997";"4458.54";"2678400";"2678400";"0";"32"
"2100";"01.12.2011 00:00:00";"1001";"178997";"4644.53";"2678400";"2678400";"0";"32"
"2100";"01.01.2012 00:00:00";"1001";"178997";"4841.40";"2678400";"2678400";"0";"32"
"2100";"01.02.2012 00:00:00";"1001";"178997";"5133.22";"2678400";"2678400";"0";"32"
"2100";"01.03.2012 00:00:00";"1001";"178997";"5337.70";"2678400";"2678400";"0";"32"
"2100";"01.04.2012 00:00:00";"1002";"178997";"5539.36";"2678400";"2678400";"0";"32"
"2100";"01.05.2012 00:00:00";"1002";"178997";"5709.39";"2678400";"2678400";"0";"32"
"2100";"01.06.2012 00:00:00";"1002";"178997";"5709.39";"2678400";"2678400";"0";"32"
"2100";"01.07.2012 00:00:00";"1002";"178997";"5709.39";"2678400";"2678400";"0";"32"
"2100";"01.08.2012 00:00:00";"1002";"178997";"5709.39";"2678400";"2678400";"0";"32"
"2100";"01.09.2012 00:00:00";"1002";"178997";"5709.39";"2678400";"2678400";"0";"32"
"2100";"01.10.2012 00:00:00";"1002";"178997";"5709.39";"2678400";"2678400";"0";"32"
"2100";"01.11.2012 00:00:00";"1001";"178997";"5829.32";"2678400";"2678400";"0";"32"
"2100";"01.12.2012 00:00:00";"1001";"178997";"6010.14";"2678400";"2678400";"0";"32"
"2100";"01.01.2013 00:00:00";"1001";"178997";"6210.75";"2678400";"2678400";"0";"32"
"2100";"01.02.2013 00:00:00";"1001";"178997";"6399.41";"2678400";"2678400";"0";"32"
"2100";"01.03.2013 00:00:00";"1001";"178997";"6579.44";"2678400";"2678400";"0";"32"
"2100";"01.04.2013 00:00:00";"1002";"178997";"6741.75";"2678400";"2678400";"0";"32"
"2100";"01.05.2013 00:00:00";"1002";"178997";"6901.81";"2678400";"2678400";"0";"32"
"2100";"01.06.2013 00:00:00";"1002";"178997";"6901.81";"2678400";"2678400";"0";"32"
