"COMP_LEVEL";"MSJO_DATUM";"ZEIT_ID";"MESS_ID";"MSJO_WERT";"MSJO_INTERVALL";"MSJO_DGUELTIG";"STER_FLAG";"STKO_FLAG"
"2100";"01.01.2009 00:00:00";"1001";"179007";"700.39";"2678400";"2678400";"0";"32"
"2100";"01.02.2009 00:00:00";"1001";"179007";"633.08";"2678400";"2678400";"0";"32"
"2100";"01.03.2009 00:00:00";"1001";"179007";"571.26";"2678400";"2678400";"0";"32"
"2100";"01.04.2009 00:00:00";"1002";"179007";"85.56";"2678400";"2678400";"0";"32"
"2100";"01.05.2009 00:00:00";"1002";"179007";"87.35";"2678400";"2678400";"0";"32"
"2100";"01.06.2009 00:00:00";"1002";"179007";"90.73";"2678400";"2678400";"0";"32"
"2100";"01.07.2009 00:00:00";"1002";"179007";"69.83";"2678400";"2678400";"0";"32"
"2100";"01.08.2009 00:00:00";"1002";"179007";"71.62";"2678400";"2678400";"0";"32"
"2100";"01.09.2009 00:00:00";"1002";"179007";"80.96";"2678400";"2678400";"0";"32"
"2100";"01.10.2009 00:00:00";"1002";"179007";"82.52";"2678400";"2678400";"0";"32"
"2100";"01.11.2009 00:00:00";"1001";"179007";"383.29";"2678400";"2678400";"0";"32"
"2100";"01.12.2009 00:00:00";"1001";"179007";"567.00";"2678400";"2678400";"0";"32"
"2100";"01.01.2010 00:00:00";"1001";"179007";"861.88";"2678400";"2678400";"0";"32"
"2100";"01.02.2010 00:00:00";"1001";"179007";"790.96";"2678400";"2678400";"0";"32"
"2100";"01.03.2010 00:00:00";"1001";"179007";"765.24";"2678400";"2678400";"0";"32"
"2100";"01.04.2010 00:00:00";"1002";"179007";"497.47";"2678400";"2678400";"0";"32"
"2100";"01.05.2010 00:00:00";"1002";"179007";"119.74";"2678400";"2678400";"0";"32"
"2100";"01.06.2010 00:00:00";"1002";"179007";"83.63";"2678400";"2678400";"0";"32"
"2100";"01.07.2010 00:00:00";"1002";"179007";"98.24";"2678400";"2678400";"0";"32"
"2100";"01.08.2010 00:00:00";"1002";"179007";"76.97";"2678400";"2678400";"0";"32"
"2100";"01.09.2010 00:00:00";"1002";"179007";"96.25";"2678400";"2678400";"0";"32"
"2100";"01.10.2010 00:00:00";"1002";"179007";"130.86";"2678400";"2678400";"0";"32"
"2100";"01.11.2010 00:00:00";"1001";"179007";"587.31";"2678400";"2678400";"0";"32"
"2100";"01.12.2010 00:00:00";"1001";"179007";"820.24";"2678400";"2678400";"0";"32"
"2100";"01.01.2011 00:00:00";"1001";"179007";"855.39";"2678400";"2678400";"0";"32"
"2100";"01.02.2011 00:00:00";"1001";"179007";"712.72";"2678400";"2678400";"0";"32"
"2100";"01.03.2011 00:00:00";"1001";"179007";"876.92";"2678400";"2678400";"0";"32"
"2100";"01.04.2011 00:00:00";"1002";"179007";"122.24";"2678400";"2678400";"0";"32"
"2100";"01.05.2011 00:00:00";"1002";"179007";"108.12";"2678400";"2678400";"0";"32"
"2100";"01.06.2011 00:00:00";"1002";"179007";"102.58";"2678400";"2678400";"0";"32"
"2100";"01.07.2011 00:00:00";"1002";"179007";"106.07";"2678400";"2678400";"0";"32"
"2100";"01.08.2011 00:00:00";"1002";"179007";"122.08";"2678400";"2678400";"0";"32"
"2100";"01.09.2011 00:00:00";"1002";"179007";"103.63";"2678400";"2678400";"0";"32"
"2100";"01.10.2011 00:00:00";"1002";"179007";"126.25";"2678400";"2678400";"0";"32"
"2100";"01.11.2011 00:00:00";"1001";"179007";"606.16";"2678400";"2678400";"0";"32"
"2100";"01.12.2011 00:00:00";"1001";"179007";"845.07";"2678400";"2678400";"0";"32"
"2100";"01.01.2012 00:00:00";"1001";"179007";"1285.17";"2678400";"2678400";"0";"32"
"2100";"01.02.2012 00:00:00";"1001";"179007";"965.13";"2678400";"2678400";"0";"32"
"2100";"01.03.2012 00:00:00";"1001";"179007";"900.97";"2678400";"2678400";"0";"32"
"2100";"01.04.2012 00:00:00";"1002";"179007";"534.13";"2678400";"2678400";"0";"32"
"2100";"01.05.2012 00:00:00";"1002";"179007";"122.12";"2678400";"2678400";"0";"32"
"2100";"01.06.2012 00:00:00";"1002";"179007";"98.23";"2678400";"2678400";"0";"32"
"2100";"01.07.2012 00:00:00";"1002";"179007";"89.09";"2678400";"2678400";"0";"32"
"2100";"01.08.2012 00:00:00";"1002";"179007";"107.71";"2678400";"2678400";"0";"32"
"2100";"01.09.2012 00:00:00";"1002";"179007";"123.05";"2678400";"2678400";"0";"32"
"2100";"01.10.2012 00:00:00";"1002";"179007";"162.93";"2678400";"2678400";"0";"32"
"2100";"01.11.2012 00:00:00";"1001";"179007";"800.66";"2678400";"2678400";"0";"32"
"2100";"01.12.2012 00:00:00";"1001";"179007";"840.81";"2678400";"2678400";"0";"32"
"2100";"01.01.2013 00:00:00";"1001";"179007";"1266.76";"2678400";"2678400";"0";"32"
"2100";"01.02.2013 00:00:00";"1001";"179007";"948.06";"2678400";"2678400";"0";"32"
"2100";"01.03.2013 00:00:00";"1001";"179007";"806.93";"2678400";"2678400";"0";"32"
"2100";"01.04.2013 00:00:00";"1002";"179007";"657.69";"2678400";"2678400";"0";"32"
"2100";"01.05.2013 00:00:00";"1002";"179007";"152.33";"2678400";"2678400";"0";"32"
"2100";"01.06.2013 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.07.2013 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.08.2013 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.09.2013 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.10.2013 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.11.2013 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.12.2013 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.01.2014 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.02.2014 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.03.2014 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.04.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.05.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.06.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.07.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.08.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.09.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.10.2014 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.11.2014 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.12.2014 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.01.2015 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.02.2015 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.03.2015 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.04.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.05.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.06.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.07.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.08.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.09.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.10.2015 00:00:00";"1002";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.11.2015 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
"2100";"01.12.2015 00:00:00";"1001";"179007";"0.00";"2678400";"2678400";"0";"32"
